"station_id","station_name","weather_date","precipitation","snow_depth","snowfall","max_temperature","min_temperature","average_wind_speed"
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-17",0.01,0,0,85,77,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-02",0,0,0,79,68,6.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-03",0,0,0,80,66,2.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-04",0,0,0,81,67,2
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-05",0,0,0,83,69,3.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-06",0.05,0,0,87,72,5.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-07",0,0,0,86,70,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-08",0,0,0,86,71,1.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-09",0,0,0,87,71,2.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-10",0.09,0,0,86,75,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-11",0.15,0,0,91,74,4.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-12",0.32000002,0,0,93,73,5.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-13",0,0,0,96,81,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-14",0.06,0,0,94,78,3.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-15",0,0,0,92,77,2.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-01",0,0,0,80,69,4.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-16",0.11,0,0,87,78,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-18",0.03,0,0,85,72,1.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-19",0.01,0,0,88,74,2.2
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-20",0.82,0,0,83,70,4.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-21",0.31,0,0,86,73,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-22",0,0,0,79,65,5.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-23",0,0,0,82,61,1.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-27",0,0,0,89,73,2.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-28",0,0,0,89,72,2.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-29",0,0,0,91,74,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-30",0,0,0,86,69,3.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-31",0,0,0,89,74,3.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-24",0,0,0,88,68,0
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-25",0.01,0,0,86,69,0
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-08-26",0,0,0,90,75,0
