"station_id","station_name","weather_date","precipitation","snow_depth","snowfall","max_temperature","min_temperature","average_wind_speed"
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-19",0,0,0,31,23,6.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-02",0,0,0,51,40,8.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-03",0,0,0,47,41,8.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-04",0,0,0,47,39,4.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-05",0.19,0,0,49,38,5.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-06",0.35000002,0,0,46,37,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-07",0.09,0,0,46,40,3.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-10",0,0,0,35,28,6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-11",0.03,0,4,35,28,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-12",0.5,0,0,46,34,6.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-13",0,0,0,43,35,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-14",0,0,0,42,34,5.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-15",0,0,0,34,19,11
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-16",0,0,0,27,17,6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-17",0.72999996,2,28,39,24,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-01",0.07,0,0,54,42,7.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-18",0.04,1.2,0,58,31,7.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-20",0,0,0,33,20,3.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-21",0,0,0,40,30,2.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-22",0,0,0,49,37,6.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-23",0,0,0,47,38,6.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-24",0.47,0,0,47,38,4.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-25",0,0,0,50,36,6.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-26",0.02,0,0,50,33,6.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-27",0,0,0,60,40,7.2
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-28",0,0,0,40,34,5.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-29",0.39000002,0,0,46,33,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-30",0.01,0,0,40,33,9.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-31",0,0,0,44,31,6.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-08",0,0,0,45,35,0
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-12-09",0,0,0,39,29,0
