"station_id","station_name","weather_date","precipitation","snow_depth","snowfall","max_temperature","min_temperature","average_wind_speed"
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-17",0,0,0,89,75,2.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-02",0,0,0,76,63,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-03",0,0,0,78,64,3.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-04",0.49,0,0,84,66,3.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-05",0.66,0,0,86,69,2.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-06",0,0,0,91,75,2.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-07",0.04,0,0,89,77,2
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-08",0.08,0,0,86,67,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-09",0.53,0,0,72,65,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-10",0,0,0,80,66,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-11",0,0,0,81,65,3.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-12",0,0,0,82,68,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-13",0,0,0,85,71,4.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-14",0.62,0,0,88,73,2.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-15",0,0,0,88,79,4.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-01",0.83,0,0,79,66,3.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-16",0,0,0,90,75,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-18",0.35000002,0,0,93,72,5.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-19",0,0,0,83,73,4.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-20",0,0,0,85,68,3.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-21",0,0,0,90,71,5.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-22",0,0,0,94,74,6.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-23",0,0,0,96,80,4.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-24",0,0,0,94,75,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-25",1,0,0,93,73,3.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-26",0,0,0,89,72,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-27",0,0,0,91,74,2
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-28",0,0,0,95,75,3.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-29",1.09,0,0,85,69,4.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-30",0.25,0,0,84,73,3.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-07-31",1.08,0,0,78,71,4.3
